"","ZCTA5CE20","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","STATE_ABBR","TOTAL","Urbanicity"
"1","40291",0.1721,0.4462,0.6699,0.531,"KY",36786,1
"2","42081",0.5954,0.5525,0.1523,0.5345,"KY",2053,0
"3","42003",0.709,0.6716,0.5772,0.9117,"KY",28933,1
"4","40509",0.1987,0.3082,0.7791,0.6679,"KY",35588,1
"5","40071",0.371,0.5861,0.5223,0.5193,"KY",14818,0
"6","41005",0.2722,0.42,0.5913,0.5998,"KY",23848,1
"7","40215",0.9418,0.9215,0.8648,0.8847,"KY",21052,1
"8","41169",0.5284,0.8797,0.1313,0.3946,"KY",6036,1
"9","41063",0.4848,0.3688,0.1921,0.4461,"KY",3091,0
"10","40025",0.1543,0.5972,0.2358,0,"KY",29,1
"11","40511",0.6227,0.2147,0.885,0.889,"KY",32265,1
"12","42701",0.4871,0.7128,0.6504,0.8335,"KY",50367,1
"13","40502",0.2505,0.0785,0.614,0.6087,"KY",26335,1
"14","42301",0.6915,0.9084,0.6036,0.8536,"KY",43243,1
"15","42049",0.626,0.1724,0.4861,0.3227,"KY",1963,0
"16","40003",0.3804,0.0568,0.2123,0.1043,"KY",2271,0
"17","40212",0.9833,0.9694,0.6914,0.8112,"KY",18348,1
"18","42171",0.7683,0.5555,0.2189,0.3704,"KY",7515,0
"19","41049",0.8097,0.9129,0.5373,0.8292,"KY",2446,0
"20","40336",0.9731,0.9212,0.1153,0.9212,"KY",13071,0
"21","41006",0.526,0.5823,0.3941,0.7288,"KY",4454,0
"22","42603",0.5806,0.063,0,0.1274,"KY",84,0
"23","42347",0.8407,0.8522,0.4577,0.7749,"KY",6130,0
"24","42079",0.5086,0.4888,0.3184,0.1028,"KY",1305,0
"25","42088",0.6639,0.6848,0.2029,0.3863,"KY",2711,0
"26","40374",0.9056,0.5021,0.494,0.5573,"KY",1816,0
"27","42170",0.4319,0.1639,0.3265,0.5542,"KY",1656,0
"28","40769",0.9376,0.8398,0.2234,0.9922,"KY",17160,0
"29","41179",0.9379,0.7951,0.1578,0.8858,"KY",7430,0
"30","41040",0.8288,0.7973,0.3411,0.8283,"KY",7066,0
"31","42743",0.7779,0.804,0.4666,0.8251,"KY",9249,0
"32","40468",0.5619,0.6052,0.2257,0.3105,"KY",2186,0
"33","42518",0.8053,0.7313,0.2234,0.755,"KY",2747,0
"34","42273",0.2991,0.9901,0.0874,0.1249,"KY",518,0
"35","42038",0.5702,0.5498,0.4888,0.7562,"KY",5610,0
"36","40902",0.9977,0.9721,0.5171,0.5735,"KY",1120,0
"37","41603",0.9058,0.1715,0.2927,0.5052,"KY",1229,0
"38","42411",0.5774,0.5363,0.1727,0.6565,"KY",1469,0
"39","41640",0.9869,0.8603,0.3913,0.4049,"KY",1230,0
"40","41086",0.5889,0.8786,0.3958,0.204,"KY",3190,0
"41","41553",0.9193,0.8148,0,0.5206,"KY",2640,0
"42","41311",0.9697,0.8488,0.35,0.9226,"KY",6953,0
"43","41003",0.8017,0.713,0.1121,0.357,"KY",2617,0
"44","42437",0.8419,0.384,0.5914,0.8334,"KY",8999,1
"45","42206",0.7321,0.6756,0.5031,0.7338,"KY",5609,0
"46","42653",0.992,0.4791,0.1783,0.7314,"KY",4210,0
"47","42408",0.8772,0.8565,0.1954,0.9329,"KY",6186,0
"48","41659",0.135,0.4128,0,0.1547,"KY",287,0
"49","41256",0.7412,0.7981,0.6178,0.2894,"KY",2405,0
"50","41840",0.9447,0.8814,0.4699,0.7312,"KY",1317,0
"51","42265",0.1904,0.7916,0.0954,0.2277,"KY",1003,0
"52","42254",0.6223,0.3583,0.2497,0.4525,"KY",280,0
"53","41568",0.8191,0.531,0,0.3835,"KY",791,0
"54","41539",0.8658,0.5807,0,0.5052,"KY",1604,0
"55","41425",0.8696,0.557,0.1496,0.5005,"KY",1120,0
"56","40040",0.8236,0.6456,0.138,0.2227,"KY",522,0
"57","40440",0.6835,0.3937,0.456,0.4959,"KY",2192,1
"58","40915",0.4175,0.7578,0,0.2063,"KY",887,0
"59","42441",0.6772,0.381,0.1121,0.4447,"KY",1624,0
"60","42324",0.4688,0.6133,0.1313,0.2086,"KY",1127,0
"61","41124",0.9457,0.7641,0.1759,0.3324,"KY",1384,0
"62","41201",0.9556,0.4535,0,0.1351,"KY",226,0
"63","40949",0.5914,0.6371,0.1282,0.319,"KY",598,0
"64","41621",0.4113,0.1737,0,0,"KY",279,1
"65","41725",0.5169,0.5337,0.3126,0.4007,"KY",240,0
"66","41535",0.3929,0.7938,0.2853,0.3873,"KY",380,0
"67","40346",0.9272,0.7465,0.1121,0.5204,"KY",915,0
"68","41714",0.7793,0.3365,0,0.1257,"KY",269,0
"69","41548",0.9659,0.6772,0.2358,0.3815,"KY",697,0
"70","40858",0.8017,0.6694,0,0.3345,"KY",204,0
"71","40806",0.8083,0.9524,0.4145,0.5844,"KY",2162,0
"72","40744",0.8658,0.821,0.2029,0.793,"KY",18763,0
"73","41773",0.997,0.8223,0.1091,0.5983,"KY",1364,0
"74","41632",0.9811,0.1646,0,0.1779,"KY",592,0
"75","40831",0.9865,0.8589,0.2666,0.9716,"KY",5494,1
"76","41843",0.9205,0.493,0.1465,0.3702,"KY",669,0
"77","41260",0.9956,0.4513,0.1091,0.7649,"KY",769,1
"78","42440",0.963,0.7403,0.2234,0.5322,"KY",934,1
"79","42285",0.8163,0.429,0.1641,0.0515,"KY",308,0
"80","41526",0.284,0.4863,0,0.1435,"KY",93,1
"81","41517",0.8022,0.3234,0.2655,0,"KY",112,0
"82","40219",0.6913,0.6363,0.9086,0.7727,"KY",40370,1
"83","42274",0.5791,0.5712,0.1548,0.2752,"KY",2628,0
"84","40216",0.8383,0.7312,0.8616,0.8263,"KY",41358,1
"85","40258",0.56,0.7437,0.7547,0.4944,"KY",27000,1
"86","41144",0.8745,0.8668,0.1667,0.815,"KY",9954,0
"87","40356",0.6687,0.8339,0.6352,0.5973,"KY",42266,1
"88","42027",0.4164,0.3355,0.1191,0.483,"KY",2506,0
"89","40175",0.5207,0.6773,0.5751,0.5756,"KY",14022,0
"90","40217",0.5039,0.0865,0.5767,0.7351,"KY",12972,1
"91","40218",0.7192,0.4995,0.9232,0.8868,"KY",31971,1
"92","40010",0.5717,0.6062,0.2281,0.3011,"KY",651,0
"93","41030",0.4903,0.866,0.2388,0.2929,"KY",5840,1
"94","41094",0.3864,0.5637,0.5966,0.5562,"KY",14795,1
"95","41059",0.4669,0.4991,0.1282,0.6417,"KY",2544,0
"96","41018",0.4833,0.5647,0.6487,0.7134,"KY",27784,1
"97","40508",0.9567,0.1296,0.8323,0.9818,"KY",26515,1
"98","40505",0.9003,0.798,0.8501,0.7575,"KY",26476,1
"99","42724",0.4741,0.6655,0.2655,0.4094,"KY",3992,0
"100","42025",0.5265,0.7794,0.1548,0.8061,"KY",19544,0
"101","42083",0.3025,0.0867,0,0.3585,"KY",308,0
"102","41007",0.3146,0.1421,0.3465,0.5593,"KY",3995,0
"103","42740",0.3624,0.6318,0.1861,0.2711,"KY",1622,0
"104","42776",0.8828,0.7097,0.4928,0.7299,"KY",3424,0
"105","42349",0.9425,0.5502,0.0925,0.4236,"KY",1098,0
"106","40437",0.9519,0.8822,0.1977,0.5791,"KY",5459,0
"107","42368",0.5777,0.7192,0.1921,0.1729,"KY",1420,0
"108","41035",0.6686,0.67,0.2462,0.8939,"KY",10710,0
"109","42085",0.9365,0.9776,0.3139,0.3961,"KY",760,0
"110","40507",0.4741,0.0721,0.8031,0.5691,"KY",1710,1
"111","42076",0.957,0.9816,0.0978,0.2419,"KY",991,0
"112","40121",0.3794,0.5015,0.6535,0.6478,"KY",9449,1
"113","40242",0.227,0.3701,0.7353,0.4951,"KY",11403,1
"114","42461",0.8327,0.8467,0.2104,0.3479,"KY",1100,0
"115","42712",0.821,0.363,0.1153,0.4007,"KY",1314,0
"116","41666",0.9133,0.7146,0.1806,0.327,"KY",1134,0
"117","42320",0.8404,0.9765,0.2774,0.7171,"KY",8475,0
"118","41636",0.9923,0.9905,0.1191,0.5588,"KY",889,0
"119","41501",0.8669,0.7439,0.4065,0.9877,"KY",23505,0
"120","41216",0.8166,0.5675,0.1699,0.6328,"KY",1196,0
"121","42553",0.8827,0.7837,0.325,0.6983,"KY",5050,0
"122","41555",0.9655,0.9865,0,0.6497,"KY",834,0
"123","42256",0.7233,0.5813,0.3536,0.4188,"KY",4547,0
"124","41472",0.9198,0.7674,0.2626,0.991,"KY",10554,0
"125","40983",0.998,0.9044,0,0.3614,"KY",702,0
"126","41514",0.9438,0.8279,0.1699,0.8024,"KY",3123,0
"127","41544",0.8921,0.3277,0.0874,0.6216,"KY",962,0
"128","41219",0.9615,0.9001,0,0.6272,"KY",2010,0
"129","42055",0.3633,0.592,0.2655,0.7984,"KY",2387,0
"130","42141",0.8649,0.9392,0.4837,0.8312,"KY",30707,0
"131","42123",0.6361,0.8559,0.5311,0.2573,"KY",1019,0
"132","42642",0.9032,0.8184,0.5638,0.6889,"KY",12263,0
"133","42130",0.7896,0.8955,0,0.086,"KY",92,0
"134","42217",0.7116,0.7983,0.5532,0.5521,"KY",3629,0
"135","42215",0.5721,0.5963,0.3469,0.4293,"KY",1489,0
"136","42232",0.0672,0.7623,0.2543,0.3558,"KY",596,0
"137","41602",0.6423,0.0705,0.3958,0.1162,"KY",534,1
"138","41537",0.9691,0.9841,0.1217,0.995,"KY",5245,0
"139","40351",0.7472,0.3642,0.5243,0.9208,"KY",19918,0
"140","41240",0.923,0.6896,0.356,0.9961,"KY",7817,1
"141","40813",0.9554,0.0655,0,0.2759,"KY",531,0
"142","41849",0,0.7342,0,0.3708,"KY",156,0
"143","42344",0.9079,0.9821,0,0.5659,"KY",1324,0
"144","40380",0.8694,0.6859,0.1548,0.8636,"KY",6313,0
"145","41238",0.5441,0.4316,0.1153,0.371,"KY",806,0
"146","42140",0.7047,0.639,0.1065,0.3549,"KY",1064,0
"147","40914",0.6484,0.4925,0,0.3267,"KY",242,0
"148","42031",0.8062,0.947,0.5881,0.8136,"KY",3167,0
"149","40844",0.5499,0.4856,0,0.2777,"KY",101,0
"150","42782",0.736,0.8727,0.469,0.2352,"KY",1066,0
"151","40923",0.5716,0.6887,0.1523,0.5893,"KY",571,0
"152","41759",0.7568,0.9745,0,0.3227,"KY",359,0
"153","41622",0.0775,0.233,0,0.0636,"KY",258,0
"154","41607",0.7111,0.2986,0,0.3565,"KY",551,0
"155","40051",0.7483,0.6569,0.1217,0.8295,"KY",4251,0
"156","42339",0.6872,0.8608,0.1641,0.1862,"KY",798,0
"157","41234",0.5727,0.5968,0,0.0995,"KY",468,0
"158","41669",0.9854,0.8092,0.2614,0.9995,"KY",999,0
"159","42153",0.984,0.6993,0.3764,0.5951,"KY",423,0
"160","40874",0.7776,0.0543,0.2961,0.6994,"KY",526,0
"161","41831",0.757,0.0914,0.1437,0.4588,"KY",1001,0
"162","41567",0.8102,0.968,0,0.3899,"KY",196,0
"163","41775",0.3251,0.4596,0,0.1151,"KY",67,0
"164","42372",0.7776,0.5394,0.1313,0.7189,"KY",1682,0
"165","40157",0.4013,0.2033,0.3238,0.1103,"KY",645,0
"166","42753",0.8572,0.7409,0.2792,0.2284,"KY",685,0
"167","41719",0.9399,0.9645,0.1313,0.3477,"KY",946,0
"168","40737",0.4567,0.0208,0,0.1313,"KY",1038,0
"169","40863",0.8321,0.6606,0,0.2501,"KY",585,0
"170","40334",0.9606,0.4718,0.2861,0.1408,"KY",103,0
"171","42321",0.8197,0.9716,0.2583,0.1057,"KY",178,0
"172","41735",0.999,0.9623,0,0.636,"KY",230,0
"173","42356",0.8376,0.4772,0.2722,0.1455,"KY",91,0
"174","40280",0.6185,0.0158,0.3984,0.7081,"KY",595,1
"175","40404",0.2164,0.0102,0.3653,0.1455,"KY",740,1
"176","42758",0.6385,0.0735,0,0.1298,"KY",107,0
"177","42163",0.1674,0.4839,0,0.1573,"KY",186,0
"178","41566",0.9396,0.3857,0,0.365,"KY",805,0
"179","41397",0.734,0.4686,0,0,"KY",16,0
"180","42022",0.0114,0.3656,0,0.0908,"KY",95,0
"181","41421",0.897,0.7119,0.3624,0.3396,"KY",193,0
"182","41257",0.7408,0.6581,0,0.2554,"KY",275,0
"183","41772",0.9246,0.5034,0,0.3835,"KY",240,0
